Point,Output,Nominal,Pass/Fail
90,BLB_Vdd,-187.5e-3,
90,Pass,1,
"Parameters: Vdd_col=600m, BLB_Vdd=-175m",,,
91,Vdd_col,600e-3,
91,BLB_Vdd,-175e-3,
91,Pass,1,
"Parameters: Vdd_col=600m, BLB_Vdd=-162.5m",,,
92,Vdd_col,600e-3,
92,BLB_Vdd,-162.5e-3,
92,Pass,1,
"Parameters: Vdd_col=600m, BLB_Vdd=-150m",,,
93,Vdd_col,600e-3,
93,BLB_Vdd,-150e-3,
93,Pass,1,
"Parameters: Vdd_col=600m, BLB_Vdd=-137.5m",,,
94,Vdd_col,600e-3,
94,BLB_Vdd,-137.5e-3,
94,Pass,1,
"Parameters: Vdd_col=600m, BLB_Vdd=-125m",,,
95,Vdd_col,600e-3,
95,BLB_Vdd,-125e-3,
95,Pass,1,
"Parameters: Vdd_col=600m, BLB_Vdd=-112.5m",,,
96,Vdd_col,600e-3,
96,BLB_Vdd,-112.5e-3,
96,Pass,1,
"Parameters: Vdd_col=600m, BLB_Vdd=-100m",,,
97,Vdd_col,600e-3,
97,BLB_Vdd,-100e-3,
97,Pass,1,
"Parameters: Vdd_col=600m, BLB_Vdd=-87.5m",,,
98,Vdd_col,600e-3,
98,BLB_Vdd,-87.5e-3,
98,Pass,1,
"Parameters: Vdd_col=600m, BLB_Vdd=-75m",,,
99,Vdd_col,600e-3,
99,BLB_Vdd,-75e-3,
99,Pass,1,
"Parameters: Vdd_col=600m, BLB_Vdd=-62.5m",,,
100,Vdd_col,600e-3,
100,BLB_Vdd,-62.5e-3,
100,Pass,1,
"Parameters: Vdd_col=600m, BLB_Vdd=-50m",,,
101,Vdd_col,600e-3,
101,BLB_Vdd,-50e-3,
101,Pass,1,
"Parameters: Vdd_col=600m, BLB_Vdd=-37.5m",,,
102,Vdd_col,600e-3,
102,BLB_Vdd,-37.5e-3,
102,Pass,1,
"Parameters: Vdd_col=600m, BLB_Vdd=-25m",,,
103,Vdd_col,600e-3,
103,BLB_Vdd,-25e-3,
103,Pass,1,
"Parameters: Vdd_col=600m, BLB_Vdd=-12.5m",,,
104,Vdd_col,600e-3,
104,BLB_Vdd,-12.5e-3,
104,Pass,1,
"Parameters: Vdd_col=600m, BLB_Vdd=79.8a",,,
105,Vdd_col,600e-3,
105,BLB_Vdd,79.8e-18,
105,Pass,1,
"Parameters: Vdd_col=625m, BLB_Vdd=-250m",,,
106,Vdd_col,625e-3,
106,BLB_Vdd,-250e-3,
106,Pass,1,
"Parameters: Vdd_col=625m, BLB_Vdd=-237.5m",,,
107,Vdd_col,625e-3,
107,BLB_Vdd,-237.5e-3,
107,Pass,1,
"Parameters: Vdd_col=625m, BLB_Vdd=-225m",,,
108,Vdd_col,625e-3,
108,BLB_Vdd,-225e-3,
108,Pass,1,
"Parameters: Vdd_col=625m, BLB_Vdd=-212.5m",,,
109,Vdd_col,625e-3,
109,BLB_Vdd,-212.5e-3,
109,Pass,1,
"Parameters: Vdd_col=625m, BLB_Vdd=-200m",,,
110,Vdd_col,625e-3,
110,BLB_Vdd,-200e-3,
110,Pass,1,
"Parameters: Vdd_col=625m, BLB_Vdd=-187.5m",,,
111,Vdd_col,625e-3,
111,BLB_Vdd,-187.5e-3,
111,Pass,1,
"Parameters: Vdd_col=625m, BLB_Vdd=-175m",,,
112,Vdd_col,625e-3,
112,BLB_Vdd,-175e-3,
112,Pass,1,
"Parameters: Vdd_col=625m, BLB_Vdd=-162.5m",,,
113,Vdd_col,625e-3,
113,BLB_Vdd,-162.5e-3,
113,Pass,1,
"Parameters: Vdd_col=625m, BLB_Vdd=-150m",,,
114,Vdd_col,625e-3,
114,BLB_Vdd,-150e-3,
114,Pass,1,
"Parameters: Vdd_col=625m, BLB_Vdd=-137.5m",,,
115,Vdd_col,625e-3,
115,BLB_Vdd,-137.5e-3,
115,Pass,1,
"Parameters: Vdd_col=625m, BLB_Vdd=-125m",,,
116,Vdd_col,625e-3,
116,BLB_Vdd,-125e-3,
116,Pass,1,
"Parameters: Vdd_col=625m, BLB_Vdd=-112.5m",,,
117,Vdd_col,625e-3,
117,BLB_Vdd,-112.5e-3,
117,Pass,1,
"Parameters: Vdd_col=625m, BLB_Vdd=-100m",,,
118,Vdd_col,625e-3,
118,BLB_Vdd,-100e-3,
118,Pass,1,
"Parameters: Vdd_col=625m, BLB_Vdd=-87.5m",,,
119,Vdd_col,625e-3,
119,BLB_Vdd,-87.5e-3,
119,Pass,1,
"Parameters: Vdd_col=625m, BLB_Vdd=-75m",,,
120,Vdd_col,625e-3,
120,BLB_Vdd,-75e-3,
120,Pass,1,
"Parameters: Vdd_col=625m, BLB_Vdd=-62.5m",,,
121,Vdd_col,625e-3,
121,BLB_Vdd,-62.5e-3,
121,Pass,1,
"Parameters: Vdd_col=625m, BLB_Vdd=-50m",,,
