Point,Output,Nominal,Pass/Fail
"Parameters: PW=7p, Vdd_main=1.05",,,
147,Vdd_col,1.05,
147,PW,7e-12,
147,Pass,0,
"Parameters: PW=8p, Vdd_main=950m",,,
148,Vdd_col,950e-3,
148,PW,8e-12,
148,Pass,0,
"Parameters: PW=8p, Vdd_main=955m",,,
149,Vdd_col,955e-3,
149,PW,8e-12,
149,Pass,0,
"Parameters: PW=8p, Vdd_main=960m",,,
150,Vdd_col,960e-3,
150,PW,8e-12,
150,Pass,0,
"Parameters: PW=8p, Vdd_main=965m",,,
151,Vdd_col,965e-3,
151,PW,8e-12,
151,Pass,0,
"Parameters: PW=8p, Vdd_main=970m",,,
152,Vdd_col,970e-3,
152,PW,8e-12,
152,Pass,0,
"Parameters: PW=8p, Vdd_main=975m",,,
153,Vdd_col,975e-3,
153,PW,8e-12,
153,Pass,0,
"Parameters: PW=8p, Vdd_main=980m",,,
154,Vdd_col,980e-3,
154,PW,8e-12,
154,Pass,0,
"Parameters: PW=8p, Vdd_main=985m",,,
155,Vdd_col,985e-3,
155,PW,8e-12,
155,Pass,0,
"Parameters: PW=8p, Vdd_main=990m",,,
156,Vdd_col,990e-3,
156,PW,8e-12,
156,Pass,0,
"Parameters: PW=8p, Vdd_main=995m",,,
157,Vdd_col,995e-3,
157,PW,8e-12,
157,Pass,0,
"Parameters: PW=8p, Vdd_main=1",,,
158,Vdd_col,1,
158,PW,8e-12,
158,Pass,0,
"Parameters: PW=8p, Vdd_main=1.005",,,
159,Vdd_col,1.005,
159,PW,8e-12,
159,Pass,0,
"Parameters: PW=8p, Vdd_main=1.01",,,
160,Vdd_col,1.01,
160,PW,8e-12,
160,Pass,0,
"Parameters: PW=8p, Vdd_main=1.015",,,
161,Vdd_col,1.015,
161,PW,8e-12,
161,Pass,0,
"Parameters: PW=8p, Vdd_main=1.02",,,
162,Vdd_col,1.02,
162,PW,8e-12,
162,Pass,0,
"Parameters: PW=8p, Vdd_main=1.025",,,
163,Vdd_col,1.025,
163,PW,8e-12,
163,Pass,0,
"Parameters: PW=8p, Vdd_main=1.03",,,
164,Vdd_col,1.03,
164,PW,8e-12,
164,Pass,0,
"Parameters: PW=8p, Vdd_main=1.035",,,
165,Vdd_col,1.035,
165,PW,8e-12,
165,Pass,0,
"Parameters: PW=8p, Vdd_main=1.04",,,
166,Vdd_col,1.04,
166,PW,8e-12,
166,Pass,0,
"Parameters: PW=8p, Vdd_main=1.045",,,
167,Vdd_col,1.045,
167,PW,8e-12,
167,Pass,0,
"Parameters: PW=8p, Vdd_main=1.05",,,
168,Vdd_col,1.05,
168,PW,8e-12,
168,Pass,0,
"Parameters: PW=9p, Vdd_main=950m",,,
169,Vdd_col,950e-3,
169,PW,9e-12,
169,Pass,0,
"Parameters: PW=9p, Vdd_main=955m",,,
170,Vdd_col,955e-3,
170,PW,9e-12,
170,Pass,0,
"Parameters: PW=9p, Vdd_main=960m",,,
171,Vdd_col,960e-3,
171,PW,9e-12,
171,Pass,0,
"Parameters: PW=9p, Vdd_main=965m",,,
172,Vdd_col,965e-3,
172,PW,9e-12,
172,Pass,0,
"Parameters: PW=9p, Vdd_main=970m",,,
173,Vdd_col,970e-3,
173,PW,9e-12,
173,Pass,0,
"Parameters: PW=9p, Vdd_main=975m",,,
174,Vdd_col,975e-3,
174,PW,9e-12,
174,Pass,0,
"Parameters: PW=9p, Vdd_main=980m",,,
175,Vdd_col,980e-3,
175,PW,9e-12,
175,Pass,0,
"Parameters: PW=9p, Vdd_main=985m",,,
176,Vdd_col,985e-3,
176,PW,9e-12,
176,Pass,0,
"Parameters: PW=9p, Vdd_main=990m",,,
177,Vdd_col,990e-3,
177,PW,9e-12,
177,Pass,0,
"Parameters: PW=9p, Vdd_main=995m",,,
178,Vdd_col,995e-3,
178,PW,9e-12,
178,Pass,0,
"Parameters: PW=9p, Vdd_main=1",,,
179,Vdd_col,1,
179,PW,9e-12,
179,Pass,0,
"Parameters: PW=9p, Vdd_main=1.005",,,
180,Vdd_col,1.005,
180,PW,9e-12,
180,Pass,0,
"Parameters: PW=9p, Vdd_main=1.01",,,
181,Vdd_col,1.01,
181,PW,9e-12,
181,Pass,0,
"Parameters: PW=9p, Vdd_main=1.015",,,
182,Vdd_col,1.015,
182,PW,9e-12,
182,Pass,0,
"Parameters: PW=9p, Vdd_main=1.02",,,
183,Vdd_col,1.02,
183,PW,9e-12,
183,Pass,0,
"Parameters: PW=9p, Vdd_main=1.025",,,
184,Vdd_col,1.025,
