Point,Output,Nominal,Pass/Fail
113,PW,6e-12,
113,Pass,1,
"Parameters: PW=6p, BLB_Vdd=-150m",,,
114,BLB_Vdd,-150e-3,
114,PW,6e-12,
114,Pass,1,
"Parameters: PW=6p, BLB_Vdd=-137.5m",,,
115,BLB_Vdd,-137.5e-3,
115,PW,6e-12,
115,Pass,0,
"Parameters: PW=6p, BLB_Vdd=-125m",,,
116,BLB_Vdd,-125e-3,
116,PW,6e-12,
116,Pass,0,
"Parameters: PW=6p, BLB_Vdd=-112.5m",,,
117,BLB_Vdd,-112.5e-3,
117,PW,6e-12,
117,Pass,0,
"Parameters: PW=6p, BLB_Vdd=-100m",,,
118,BLB_Vdd,-100e-3,
118,PW,6e-12,
118,Pass,0,
"Parameters: PW=6p, BLB_Vdd=-87.5m",,,
119,BLB_Vdd,-87.5e-3,
119,PW,6e-12,
119,Pass,0,
"Parameters: PW=6p, BLB_Vdd=-75m",,,
120,BLB_Vdd,-75e-3,
120,PW,6e-12,
120,Pass,0,
"Parameters: PW=6p, BLB_Vdd=-62.5m",,,
121,BLB_Vdd,-62.5e-3,
121,PW,6e-12,
121,Pass,0,
"Parameters: PW=6p, BLB_Vdd=-50m",,,
122,BLB_Vdd,-50e-3,
122,PW,6e-12,
122,Pass,0,
"Parameters: PW=6p, BLB_Vdd=-37.5m",,,
123,BLB_Vdd,-37.5e-3,
123,PW,6e-12,
123,Pass,0,
"Parameters: PW=6p, BLB_Vdd=-25m",,,
124,BLB_Vdd,-25e-3,
124,PW,6e-12,
124,Pass,0,
"Parameters: PW=6p, BLB_Vdd=-12.5m",,,
125,BLB_Vdd,-12.5e-3,
125,PW,6e-12,
125,Pass,0,
"Parameters: PW=6p, BLB_Vdd=79.8a",,,
126,BLB_Vdd,79.8e-18,
126,PW,6e-12,
126,Pass,0,
"Parameters: PW=7p, BLB_Vdd=-250m",,,
127,BLB_Vdd,-250e-3,
127,PW,7e-12,
127,Pass,1,
"Parameters: PW=7p, BLB_Vdd=-237.5m",,,
128,BLB_Vdd,-237.5e-3,
128,PW,7e-12,
128,Pass,1,
"Parameters: PW=7p, BLB_Vdd=-225m",,,
129,BLB_Vdd,-225e-3,
129,PW,7e-12,
129,Pass,1,
"Parameters: PW=7p, BLB_Vdd=-212.5m",,,
130,BLB_Vdd,-212.5e-3,
130,PW,7e-12,
130,Pass,1,
"Parameters: PW=7p, BLB_Vdd=-200m",,,
131,BLB_Vdd,-200e-3,
131,PW,7e-12,
131,Pass,1,
"Parameters: PW=7p, BLB_Vdd=-187.5m",,,
132,BLB_Vdd,-187.5e-3,
132,PW,7e-12,
132,Pass,1,
"Parameters: PW=7p, BLB_Vdd=-175m",,,
133,BLB_Vdd,-175e-3,
133,PW,7e-12,
133,Pass,1,
"Parameters: PW=7p, BLB_Vdd=-162.5m",,,
134,BLB_Vdd,-162.5e-3,
134,PW,7e-12,
134,Pass,1,
"Parameters: PW=7p, BLB_Vdd=-150m",,,
135,BLB_Vdd,-150e-3,
135,PW,7e-12,
135,Pass,1,
"Parameters: PW=7p, BLB_Vdd=-137.5m",,,
136,BLB_Vdd,-137.5e-3,
136,PW,7e-12,
136,Pass,1,
"Parameters: PW=7p, BLB_Vdd=-125m",,,
137,BLB_Vdd,-125e-3,
137,PW,7e-12,
137,Pass,1,
"Parameters: PW=7p, BLB_Vdd=-112.5m",,,
138,BLB_Vdd,-112.5e-3,
138,PW,7e-12,
138,Pass,1,
"Parameters: PW=7p, BLB_Vdd=-100m",,,
139,BLB_Vdd,-100e-3,
139,PW,7e-12,
139,Pass,0,
"Parameters: PW=7p, BLB_Vdd=-87.5m",,,
140,BLB_Vdd,-87.5e-3,
140,PW,7e-12,
140,Pass,0,
"Parameters: PW=7p, BLB_Vdd=-75m",,,
141,BLB_Vdd,-75e-3,
141,PW,7e-12,
141,Pass,0,
"Parameters: PW=7p, BLB_Vdd=-62.5m",,,
142,BLB_Vdd,-62.5e-3,
142,PW,7e-12,
142,Pass,0,
"Parameters: PW=7p, BLB_Vdd=-50m",,,
143,BLB_Vdd,-50e-3,
143,PW,7e-12,
143,Pass,0,
"Parameters: PW=7p, BLB_Vdd=-37.5m",,,
144,BLB_Vdd,-37.5e-3,
144,PW,7e-12,
144,Pass,0,
"Parameters: PW=7p, BLB_Vdd=-25m",,,
145,BLB_Vdd,-25e-3,
145,PW,7e-12,
145,Pass,0,
"Parameters: PW=7p, BLB_Vdd=-12.5m",,,
146,BLB_Vdd,-12.5e-3,
146,PW,7e-12,
146,Pass,0,
"Parameters: PW=7p, BLB_Vdd=79.8a",,,
147,BLB_Vdd,79.8e-18,
147,PW,7e-12,
147,Pass,0,
"Parameters: PW=8p, BLB_Vdd=-250m",,,
148,BLB_Vdd,-250e-3,
148,PW,8e-12,
148,Pass,1,
"Parameters: PW=8p, BLB_Vdd=-237.5m",,,
149,BLB_Vdd,-237.5e-3,
149,PW,8e-12,
149,Pass,1,
"Parameters: PW=8p, BLB_Vdd=-225m",,,
150,BLB_Vdd,-225e-3,
150,PW,8e-12,
150,Pass,1,
"Parameters: PW=8p, BLB_Vdd=-212.5m",,,
151,BLB_Vdd,-212.5e-3,
151,PW,8e-12,
151,Pass,1,
"Parameters: PW=8p, BLB_Vdd=-200m",,,
152,BLB_Vdd,-200e-3,
152,PW,8e-12,
152,Pass,1,
"Parameters: PW=8p, BLB_Vdd=-187.5m",,,
153,BLB_Vdd,-187.5e-3,
153,PW,8e-12,
153,Pass,1,
"Parameters: PW=8p, BLB_Vdd=-175m",,,
154,BLB_Vdd,-175e-3,
154,PW,8e-12,
154,Pass,1,
"Parameters: PW=8p, BLB_Vdd=-162.5m",,,
155,BLB_Vdd,-162.5e-3,
155,PW,8e-12,
155,Pass,1,
"Parameters: PW=8p, BLB_Vdd=-150m",,,
156,BLB_Vdd,-150e-3,
156,PW,8e-12,
156,Pass,1,
"Parameters: PW=8p, BLB_Vdd=-137.5m",,,
157,BLB_Vdd,-137.5e-3,
157,PW,8e-12,
157,Pass,1,
"Parameters: PW=8p, BLB_Vdd=-125m",,,
