Point,Output,Nominal,Pass/Fail
"Parameters: PW=9p, Vdd_col=525m",,,
170,Vdd_col,525e-3,
170,PW,9e-12,
170,Pass,1,
"Parameters: PW=9p, Vdd_col=550m",,,
171,Vdd_col,550e-3,
171,PW,9e-12,
171,Pass,1,
"Parameters: PW=9p, Vdd_col=575m",,,
172,Vdd_col,575e-3,
172,PW,9e-12,
172,Pass,1,
"Parameters: PW=9p, Vdd_col=600m",,,
173,Vdd_col,600e-3,
173,PW,9e-12,
173,Pass,1,
"Parameters: PW=9p, Vdd_col=625m",,,
174,Vdd_col,625e-3,
174,PW,9e-12,
174,Pass,1,
"Parameters: PW=9p, Vdd_col=650m",,,
175,Vdd_col,650e-3,
175,PW,9e-12,
175,Pass,1,
"Parameters: PW=9p, Vdd_col=675m",,,
176,Vdd_col,675e-3,
176,PW,9e-12,
176,Pass,1,
"Parameters: PW=9p, Vdd_col=700m",,,
177,Vdd_col,700e-3,
177,PW,9e-12,
177,Pass,1,
"Parameters: PW=9p, Vdd_col=725m",,,
178,Vdd_col,725e-3,
178,PW,9e-12,
178,Pass,1,
"Parameters: PW=9p, Vdd_col=750m",,,
179,Vdd_col,750e-3,
179,PW,9e-12,
179,Pass,1,
"Parameters: PW=9p, Vdd_col=775m",,,
180,Vdd_col,775e-3,
180,PW,9e-12,
180,Pass,1,
"Parameters: PW=9p, Vdd_col=800m",,,
181,Vdd_col,800e-3,
181,PW,9e-12,
181,Pass,1,
"Parameters: PW=9p, Vdd_col=825m",,,
182,Vdd_col,825e-3,
182,PW,9e-12,
182,Pass,1,
"Parameters: PW=9p, Vdd_col=850m",,,
183,Vdd_col,850e-3,
183,PW,9e-12,
183,Pass,1,
"Parameters: PW=9p, Vdd_col=875m",,,
184,Vdd_col,875e-3,
184,PW,9e-12,
184,Pass,1,
"Parameters: PW=9p, Vdd_col=900m",,,
185,Vdd_col,900e-3,
185,PW,9e-12,
185,Pass,0,
"Parameters: PW=9p, Vdd_col=925m",,,
186,Vdd_col,925e-3,
186,PW,9e-12,
186,Pass,0,
"Parameters: PW=9p, Vdd_col=950m",,,
187,Vdd_col,950e-3,
187,PW,9e-12,
187,Pass,0,
"Parameters: PW=9p, Vdd_col=975m",,,
188,Vdd_col,975e-3,
188,PW,9e-12,
188,Pass,0,
"Parameters: PW=9p, Vdd_col=1",,,
189,Vdd_col,1,
189,PW,9e-12,
189,Pass,0,
"Parameters: PW=10p, Vdd_col=500m",,,
190,Vdd_col,500e-3,
190,PW,10e-12,
190,Pass,1,
"Parameters: PW=10p, Vdd_col=525m",,,
191,Vdd_col,525e-3,
191,PW,10e-12,
191,Pass,1,
